VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,duration,is_weekend
2,2,4.72,1,N,234,65,1,19.5,0.5,0.5,4.16,0,0.3,24.96,22.966666666666665,0
2,6,2.21,1,N,142,236,1,10,0.5,0.5,2.26,0,0.3,13.56,11.416666666666666,1
2,2,0.97,1,N,237,162,1,6,0,0.5,1.36,0,0.3,8.16,5.816666666666666,0
2,3,1.8,1,N,13,209,1,8.5,0,0.5,1.86,0,0.3,11.16,8.383333333333333,0
2,3,1.45,1,N,233,140,1,8.5,0,0.5,1.86,0,0.3,11.16,11,0
2,1,0.5,1,N,162,161,1,9,0,0.5,1.96,0,0.3,11.76,13.683333333333334,0
2,1,1.88,1,N,68,50,1,7.5,0.5,0.5,1.76,0,0.3,10.56,5.766666666666667,0
2,1,2.21,1,N,41,239,1,10.5,0,0.5,3.39,0,0.3,14.69,11.3,1
2,2,1.7,1,N,230,90,1,12.5,0.5,0.5,2.76,0,0.3,16.56,18.566666666666666,1
2,1,0.67,1,N,170,162,1,5,0,0.5,1.16,0,0.3,6.96,4.866666666666666,0
1,1,4.5,1,N,41,229,1,18.5,0,0.5,3.85,0,0.3,23.15,23.366666666666667,1
1,1,2.9,1,N,48,75,1,11,0.5,0.5,2.45,0,0.3,14.75,10.816666666666666,0
1,1,0.9,1,N,239,238,1,6,0,0.5,1.7,0,0.3,8.5,5.466666666666667,0
1,4,9.6,1,N,166,88,1,31.5,0,0.5,10,0,0.3,42.3,30.383333333333333,0
2,5,1.01,1,N,170,161,1,7.5,0,0.5,1.66,0,0.3,9.96,9.383333333333333,0
2,1,17.2,2,N,161,132,1,52,0,0.5,11.71,5.76,0.3,70.27,43.666666666666664,0
1,1,1.7,1,N,48,249,1,9,0,0.5,1,0,0.3,10.8,10.85,1
1,1,0.9,1,N,233,141,1,5,0,0.5,1.45,0,0.3,7.25,3.7333333333333334,1
2,1,3.23,1,N,263,137,1,12.5,0.5,0.5,2.76,0,0.3,16.56,12.683333333333334,0
2,1,2.14,1,N,90,144,1,11.5,0,0.5,2.46,0,0.3,14.76,15.166666666666666,1
1,1,1.7,1,N,233,141,1,8,0.5,0.5,1,0,0.3,10.3,7.733333333333333,0
2,1,1.86,1,N,142,238,1,7.5,0.5,0.5,2.2,0,0.3,11,6.633333333333334,1
2,6,2.09,1,N,48,239,1,10.5,0.5,0.5,2.36,0,0.3,14.16,12.966666666666667,0
2,5,1.31,1,N,107,79,1,6.5,0.5,0.5,1.95,0,0.3,9.75,5.15,0
2,1,2.62,1,N,246,144,1,12.5,0,0.5,1.33,0,0.3,14.63,14.316666666666666,0
2,1,0.8,1,N,142,143,1,7,0,0.5,1,0,0.3,8.8,7.85,0
1,1,0.8,1,N,170,161,1,7.5,0,0.5,2.05,0,0.3,10.35,9.266666666666667,0
2,1,3.42,1,N,90,141,1,16,0.5,0.5,3.46,0,0.3,20.76,22.516666666666666,1
2,2,10.66,1,N,186,138,1,42,0,0.5,0.7,5.76,0.3,49.26,53.666666666666664,0
2,6,6.46,1,N,237,88,1,22.5,0,0.5,4.66,0,0.3,27.96,21.866666666666667,0
2,1,0.82,1,N,113,249,1,4.5,0,0.5,1.06,0,0.3,6.36,3.966666666666667,1
2,2,18.49,2,N,132,162,1,52,0,0.5,10.56,0,0.3,63.36,38.86666666666667,0
2,1,18.56,2,N,132,90,1,52,0,0.5,5,5.76,0.3,63.56,73.76666666666667,0
2,1,4.67,1,N,87,112,1,17,0.5,0.5,3.66,0,0.3,21.96,16.783333333333335,1
1,1,1.2,1,N,113,164,1,7.5,0.5,0.5,1.75,0,0.3,10.55,8.333333333333334,1
2,1,10.47,1,N,74,13,1,33.5,0,0.5,8.58,0,0.3,42.88,35.75,0
1,1,4.3,1,N,142,226,1,14.5,0,0.5,4.55,0,0.3,19.85,13.883333333333333,0
1,1,0.8,1,N,239,238,1,4.5,0.5,0.5,1.15,0,0.3,6.95,3.5,0
1,2,1.2,1,N,162,140,1,6.5,0,0.5,1,0,0.3,8.3,6.7,0
2,2,1.53,1,N,239,151,1,7.5,0,0.5,1,0,0.3,9.3,8.016666666666667,1
1,1,4.1,1,N,125,237,1,20,0.5,0.5,4.25,0,0.3,25.55,30.383333333333333,0
2,1,3.28,1,N,237,234,1,16.5,0,0.5,3.46,0,0.3,20.76,22.966666666666665,0
2,1,0.47,1,N,137,164,1,4,0,0.5,0.5,0,0.3,5.3,3.2,0
1,1,0.7,1,N,236,262,1,5,0.5,0.5,0.95,0,0.3,7.25,4.116666666666666,1
2,1,6.02,1,N,68,166,1,22,0.5,0.5,4.66,0,0.3,27.96,20.533333333333335,0
2,1,4.49,1,N,263,79,1,15,0.5,0.5,3.26,0,0.3,19.56,13.35,0
2,6,1.85,1,N,161,237,1,8,0.5,0.5,2.32,0,0.3,11.62,7.766666666666667,1
2,1,1.24,1,N,162,170,1,6,0.5,0.5,1.46,0,0.3,8.76,5.2,0
1,1,0.6,1,N,142,163,1,6.5,0,0.5,1.5,0,0.3,8.8,7.9,0
2,1,8.99,1,N,164,138,1,28.5,0,0.5,7.01,5.76,0.3,42.07,24.55,0
1,1,1.1,1,N,234,230,1,11,0,0.5,1.77,0,0.3,13.57,17.066666666666666,0
2,3,1.29,1,N,107,114,1,7.5,0,0.5,1,0,0.3,9.3,8.166666666666666,0
1,1,2.2,1,N,239,236,1,12.5,0,0.5,2.65,0,0.3,15.95,16.85,0
2,5,6.91,1,N,82,186,1,28.5,0,0.5,7.32,0,0.3,36.62,36.583333333333336,1
